Date,Product Or service Name, Amount  ,restaurant_id
30-04-2025,Pos subscription,10000,377477
30-04-2025,Pos subscription,10000,377843
30-04-2025,Pos subscription,10000,377478
30-04-2025,Pos subscription,10000,377816
30-04-2025,Pos subscription,10000,377224
30-04-2025,Pos subscription,9000,369842
30-04-2025,Pos subscription,9000,369857
30-04-2025,Pos subscription,9000,369858
30-04-2025,Pos subscription,9000,369840
30-04-2025,Pos subscription,9000,369859
30-04-2025,Pos subscription,9000,369853
30-04-2025,Pos subscription,9000,369849
30-04-2025,Pos subscription,9000,369843
30-04-2025,Pos subscription,10000,364519
30-04-2025,Pos subscription,10000,364517
30-04-2025,Pos subscription,10000,364511
30-04-2025,Pos subscription,10000,364513
30-04-2025,Pos subscription,10000,364508
30-04-2025,Pos subscription,9000,378158
30-04-2025,Pos subscription,9000,378159
30-04-2025,Pos subscription,9000,378160
30-04-2025,Pos subscription,9000,378157
30-04-2025,Pos subscription,9000,378161
30-04-2025,Pos subscription,9000,378156
30-04-2025,Pos subscription,9000,378154
30-04-2025,Pos subscription,9000,378155
30-04-2025,Pos subscription,9000,378146
30-04-2025,Pos subscription,9000,378087
30-04-2025,Pos subscription,10000,373377
30-04-2025,Pos subscription,10000,377906
30-04-2025,Pos subscription,10000,369838
30-04-2025,Pos subscription,9000,376445
30-04-2025,Pos subscription,10000,378881
30-04-2025,Pos subscription,10000,378180
30-04-2025,Pos subscription,10000,378182
30-04-2025,Pos subscription,10000,378183
30-04-2025,Pos subscription,9000,377538
30-04-2025,Pos subscription,10000,377578
30-04-2025,Pos subscription,10000,378839
30-04-2025,Pos subscription,10000,378456
30-04-2025,Pos subscription,10000,377535
30-04-2025,Pos subscription,9000,374571
30-04-2025,Pos subscription,10000,378558
30-04-2025,Pos subscription,10000,378699
30-04-2025,Pos subscription,10000,378057
30-04-2025,Pos subscription,10000,378113
30-04-2025,Pos subscription,10000,369729
30-04-2025,Pos subscription,10000,378112
30-04-2025,POS Subscription - Renewal,3500,75822
30-04-2025,POS Subscription - Renewal,3500,75824
30-04-2025,POS Subscription - Renewal,3500,75825
30-04-2025,POS Subscription - Renewal,3500,75798
30-04-2025,POS Subscription - Renewal,3500,75810
30-04-2025,POS Subscription - Renewal,3500,75799
30-04-2025,POS Subscription - Renewal,3500,75821
30-04-2025,POS Subscription - Renewal,3500,75816
30-04-2025,POS Subscription - Renewal,3500,48589
30-04-2025,POS Subscription - Renewal,3500,75801
30-04-2025,POS Subscription - Renewal,3500,75813
30-04-2025,POS Subscription - Renewal,3500,75820
30-04-2025,POS Subscription - Renewal,3500,75794
30-04-2025,POS Subscription - Renewal,3500,75803
30-04-2025,POS Subscription - Renewal,3500,75795
30-04-2025,POS Subscription - Renewal,3500,75814
30-04-2025,POS Subscription - Renewal,3500,75807
30-04-2025,POS Subscription - Renewal,3500,75808
01-04-2025,Android POS - Renewal income,4500,314405
02-04-2025,Android POS - Renewal income,4500,117152
03-04-2025,Android POS - Renewal income,4500,141771
04-04-2025,Android POS - Renewal income,4500,114239
07-04-2025,Android POS - Renewal income,4500,326443
07-04-2025,Android POS - Renewal income,4500,154104
07-04-2025,Android POS - Renewal income,4500,322203
07-04-2025,Android POS - Renewal income,4500,113981
07-04-2025,Android POS - Renewal income,4500,322056
08-04-2025,Android POS - Renewal income,4500,43433
08-04-2025,Android POS - Renewal income,4500,321674
10-04-2025,Android POS - Renewal income,4500,43241
11-04-2025,Android POS - Renewal income,4500,119023
12-04-2025,Android POS - Renewal income,4500,320983
12-04-2025,Android POS - Renewal income,4500,119062
15-04-2025,Android POS - Renewal income,4500,158382
16-04-2025,Android POS - Renewal income,4500,44286
16-04-2025,Android POS - Renewal income,4500,120061
16-04-2025,Android POS - Renewal income,4500,124130
16-04-2025,Android POS - Renewal income,4500,121194
17-04-2025,Android POS - Renewal income,4500,43635
17-04-2025,Android POS - Renewal income,4500,116078
18-04-2025,Android POS - Renewal income,4500,324106
19-04-2025,Android POS - Renewal income,4500,71935
22-04-2025,Android POS - Renewal income,4500,324002
22-04-2025,Android POS - Renewal income,4500,119797
22-04-2025,Android POS - Renewal income,4500,120992
22-04-2025,Android POS - Renewal income,4500,121073
23-04-2025,Android POS - Renewal income,4500,326003
23-04-2025,Android POS - Renewal income,4500,325993
24-04-2025,Android POS - Renewal income,4500,314224
24-04-2025,Android POS - Renewal income,4500,324799
25-04-2025,Android POS - Renewal income,4500,154078
26-04-2025,Android POS - Renewal income,4500,325237
29-04-2025,Android POS - Renewal income,4500,75253
29-04-2025,Android POS - Renewal income,4500,121487
30-04-2025,Android POS - Renewal income,4500,121408
30-04-2025,Android POS - Renewal income,4500,324431
30-04-2025,Android POS - Renewal income,4500,121166
17-04-2025,POS Subscription - Renewal,3500,111374
17-04-2025,POS Subscription - Renewal,3500,111375
17-04-2025,POS Subscription - Renewal,3500,111376
17-04-2025,POS Subscription - Renewal,3500,111377
17-04-2025,POS Subscription - Renewal,3500,111378
17-04-2025,POS Subscription - Renewal,3500,111379
17-04-2025,POS Subscription - Renewal,3500,111367
17-04-2025,POS Subscription - Renewal,3500,111373
17-04-2025,POS Subscription - Renewal,3500,111380
17-04-2025,POS Subscription - Renewal,3500,111366
17-04-2025,POS Subscription - Renewal,3500,111368
17-04-2025,POS Subscription - Renewal,3500,111365
17-04-2025,POS Subscription - Renewal,3500,111369
17-04-2025,POS Subscription - Renewal,3500,111381
17-04-2025,POS Subscription - Renewal,3500,111364
17-04-2025,POS Subscription - Renewal,3500,111370
17-04-2025,POS Subscription - Renewal,3500,111384
17-04-2025,POS Subscription - Renewal,3500,111363
17-04-2025,POS Subscription - Renewal,3500,81557
17-04-2025,POS Subscription - Renewal,3500,111372
17-04-2025,POS Subscription - Renewal,3500,81540
17-04-2025,POS Subscription - Renewal,3500,81528
01-04-2025,POS Subscription - Renewal,4500,72055
01-04-2025,POS Subscription - Renewal,4500,321880
01-04-2025,POS Subscription - Renewal,7000,67168
01-04-2025,POS Subscription - Renewal,7000,114166
01-04-2025,POS Subscription - Renewal,4500,321721
01-04-2025,POS Subscription - Renewal,7000,117079
02-04-2025,POS Subscription - Renewal,4500,73338
02-04-2025,POS Subscription - Renewal,7000,71312
02-04-2025,POS Subscription - Renewal,7000,321368
02-04-2025,POS Subscription - Renewal,4500,158073
02-04-2025,POS Subscription - Renewal,1915.25,67040
02-04-2025,POS Subscription - Renewal,7000,73606
02-04-2025,POS Subscription - Renewal,4500,320982
02-04-2025,POS Subscription - Renewal,4500,15465
02-04-2025,POS Subscription - Renewal,7000,322896
02-04-2025,POS Subscription - Renewal,4500,321785
02-04-2025,POS Subscription - Renewal,7000,71975
02-04-2025,POS Subscription - Renewal,4500,118242
02-04-2025,POS Subscription - Renewal,7000,69823
02-04-2025,POS Subscription - Renewal,7000,53968
02-04-2025,POS Subscription - Renewal,7000,116196
02-04-2025,POS Subscription - Renewal,7000,91132
03-04-2025,POS Subscription - Renewal,7000,72002
03-04-2025,POS Subscription - Renewal,7000,316088
03-04-2025,POS Subscription - Renewal,7000,117251
03-04-2025,POS Subscription - Renewal,7000,322802
03-04-2025,POS Subscription - Renewal,7000,117271
03-04-2025,POS Subscription - Renewal,7000,42254
03-04-2025,POS Subscription - Renewal,7000,321774
03-04-2025,POS Subscription - Renewal,4500,322861
03-04-2025,POS Subscription - Renewal,4500,59887
03-04-2025,POS Subscription - Renewal,4500,40491
03-04-2025,POS Subscription - Renewal,4500,321769
03-04-2025,POS Subscription - Renewal,4500,119060
03-04-2025,POS Subscription - Renewal,7000,114435
03-04-2025,POS Subscription - Renewal,4500,118612
03-04-2025,POS Subscription - Renewal,4500,322285
03-04-2025,POS Subscription - Renewal,7000,323559
03-04-2025,POS Subscription - Renewal,4500,323122
03-04-2025,POS Subscription - Renewal,7000,321764
04-04-2025,POS Subscription - Renewal,7000,139822
04-04-2025,POS Subscription - Renewal,7000,109881
04-04-2025,POS Subscription - Renewal,7000,67766
